name,iso_country,municipality,iata_code,,,,
Zanesville Municipal Airport,US,Zanesville,ZZV,,,,
Mzuzu Airport,MW,Mzuzu,ZZU,,,,
Zonalnoye Airport,RU,Tymovskoye,ZZO,,,,
Osmany International Airport,BD,Sylhet,ZYL,,,,
Zunyi Xinzhou Airport,CN,Zunyi,ZYI,,,,
Zabrat Airport,AZ,Baku,ZXT,,,,
Wollaston Lake Airport,CA,Wollaston Lake,ZWL,,,,
LBJ Ranch Airport,US,Johnson City,JCY,,,,
Andapa Airport,MG,,ZWA,,,,
Savannakhet Airport,LA,,ZVK,,,,
Springvale Airport,AU,Springvale,ZVG,,,,
Miandrivazo Airport,MG,,ZVA,,,,
Churchill Falls Airport,CA,Churchill Falls,ZUM,,,,
Zilfi Airport,SA,Zilfi,ZUL,,,,
Icy Bay Airport,US,Icy Bay,ICY,,,,
Zhuhai Jinwan Airport,CN,Zhuhai,ZUH,,,,
Kalakaket Creek AS Airport,US,Kalakaket Creek,KKK,,,,
Dunsmuir Muni-Mott Airport,US,Dunsmuir,MHS,,,,
Pupelde Airport,CL,Ancud,ZUD,,,,
Grand Canyon Bar Ten Airstrip,US,Whitmore,GCT,,,,
Ellamar Seaplane Base,US,Ellamar,ELW,,,,
Lime Village Airport,US,Lime Village,LVD,,,,
Hog River Airport,US,Hogatza,HGZ,,,,
Ignace Municipal Airport,CA,Ignace,ZUC,,,,
Zaqatala International Airport,AZ,Zaqatala,ZTU,,,,
Tahsis Seaplane Base,CA,Tahsis,ZTS,,,,
Zhytomyr Airport,UA,,ZTR,,,,
Entrance Island Seaplane Base,US,Entrance Island,HBH,,,,
False Island Seaplane Base,US,False Island,FAK,,,,
Shamattawa Airport,CA,Shamattawa,ZTM,,,,
Zakynthos International Airport Dionysios Solomos,GR,Zakynthos Island,ZTH,,,,
TÃªte-Ã -la-Baleine Airport,CA,TÃªte-Ã -la-Baleine,ZTB,,,,
Tureia Airport,PF,,ZTA,,,,
